Industry,Search Query,Business Name,Address,Phone,Website,Scraped Email,Google Rating
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Creativ Realty,"37 Archibald St, Moncton, NB E1C 5H8, Canada",(506) 381-9489,http://www.creativrealty.com/,info@creativrealty.com,4.9 (27 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick","Megan Jones- Moncton, New Brunswick REALTOR®","1000 St George Blvd, Moncton, NB E1E 4M7, Canada",(506) 962-6483,,,5 (10 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Jocelyne LeBlanc,"123 Halifax St Suite 600, Moncton, NB E1C 9R6, Canada",(506) 866-9693,https://www.jocelyneleblanc.com/,,5 (76 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick","Phil Albert - REALTOR® for Moncton, Dieppe, Riverview, Shediac, New Brunswick","640 Mountain Rd, Moncton, NB E1C 2C3, Canada",(506) 878-3948,http://philalbert.ca/,phil@philalbert.ca,5 (37 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick","Susan Steeves, Broker/Owner, Engel & Völkers New Brunswick","32 Alma St, Moncton, NB E1C 4Y1, Canada",(506) 962-7300,https://newbrunswick.evrealestate.com/,tara.bourgeois@engelvoelkers.com,5 (42 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Dennis Wilson - Moncton Realtor,"150 Edmonton Ave, Moncton, NB E1C 3B9, Canada",(506) 871-0223,http://denniswilsonrealty.ca/,dennis.wilson@kw.com,5 (79 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",RE/MAX AVANTE,"123 Halifax St Suite 600, Moncton, NB E1C 9R6, Canada",(506) 853-7653,http://www.remax-avante.com/,,4.8 (19 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Craig Powell - Greater Moncton NB REALTOR®,"1000 St George Blvd, Moncton, NB E1E 4M7, Canada",(506) 889-0339,https://www.eastcoastcastles.ca/,craig@eastcoastcastles.ca,5 (38 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Your Moncton REALTOR - Sean Power,"100 Botsford St, Moncton, NB E1A 5V8, Canada",(506) 229-7711,http://www.seanpower.ca/,info@powerteam.ca,5 (44 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Mandeep Singh Realtor - Residential Real Estate Agent in Moncton - Royal Lepage Atlantic,"1000 St George Blvd unit 101, Moncton, NB E1E 4M7, Canada",(506) 962-6117,https://mandeepsingh.royallepage.ca/,,5 (24 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Keller Williams Capital Realty,"150 Edmonton Ave #4B, Moncton, NB E1C 3B9, Canada",(506) 383-2883,http://www.kwmoncton.ca/,,3.8 (34 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Jocelyn Clements REALTOR - RE/MAX Quality Real Estate Inc.,"640 Mountain Rd, Moncton, NB E1C 2P3, Canada",(506) 962-6269,https://jocelynclements.remaxqualityrealestate.com/,jclementsrealty@gmail.com,4.9 (45 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Royal LePage Atlantic,"1000 St George Blvd unit 101, Moncton, NB E1E 4M7, Canada",(506) 857-2100,http://royallepageatlantic.com/,,3.9 (35 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Eric Frenette - REALTOR,"150 Edmonton Ave #4B, Moncton, NB E1C 3B9, Canada",(506) 364-7653,http://www.ericfrenette.ca/,,5 (24 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Shawn Mayo - YOUR New Brunswick REALTOR,"1000 St George Blvd unit 101, Moncton, NB E1E 4M7, Canada",(506) 889-2320,https://shawnmayo.ca/,,5 (15 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick",Tory Hicks - Moncton REALTOR - Southeast New Brunswick,"123 Halifax St Suite 600, Moncton, NB E1C 9R6, Canada",(506) 232-4555,https://toryhicks.remax-avante.ca/,,5 (46 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick","Hayley Burrell, REALTOR®","123 Halifax St, Moncton, NB E1C 9R6, Canada",(506) 227-9838,https://506homeswithhayley.com/,hayley@506homeswithhayley.com,5 (44 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick","Danielle Johnson: Real Estate Agent, Royal Lepage Atlantic, Moncton NB","1000 St George Blvd unit 101, Moncton, NB E1E 4M7, Canada",(506) 381-6084,http://www.daniellejohnson.ca/,danielle@daniellejohnson.ca,4.9 (23 reviews)
Real Estate,"Real Estate Agency in Moncton, New Brunswick","Myriam Coper: Real Estate Agent, Royal Lepage Atlantic, Moncton NB","1000 St George Blvd, Moncton, NB E1E 2C2, Canada",(506) 588-7250,https://royallepageatlantic.com/contact-us/agent-profile/myriam-coper/15809/,,5 (31 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",The Right Choice Realty,"288 Union St, Fredericton, NB E3A 1E5, Canada",(506) 455-1980,https://therightchoicerealty.ca/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,info@therightchoicerealty.ca,4.9 (218 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",The Drisdelle Team - KW Capital Realty (Fredericton Real Estate),"90 Woodside Ln Unit 101, Fredericton, NB E3C 2R9, Canada",(506) 206-5649,http://www.thedrisdelleteam.com/,,5 (126 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",Rebecca Steeves Fredericton Team | REALTORS with RE/MAX Hartford Realty,"36 Cameron Ct, Fredericton, NB E3B 2R9, Canada",(506) 476-2763,https://frederictonhomes.com/,,4.9 (106 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick","Alexandra Daigle, REALTOR® -The Daigle Group - Fredericton & Oromocto","249 Rookwood Ave, Fredericton, NB E3B 2M5, Canada",(506) 440-7057,https://daiglegroup.ca/,info@daiglegroup.ca,5 (97 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",EXIT Realty Advantage,"461 St Marys St, Fredericton, NB E3A 8H4, Canada",(506) 455-3948,https://exitadvantage.ca/,exit@exitadvantage.ca,4.1 (49 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",RE/MAX East Coast ELITE Realty,"283 St Marys St, Fredericton, NB E3A 2S5, Canada",(506) 452-9888,http://www.remaxfrederictonelite.ca/,,4.6 (21 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick","Karen Syroid, REALTOR® - The Syroid Group of Royal LePage Atlantic","457 Bishop Dr Suite 203A, Fredericton, NB E3C 2M6, Canada",(506) 260-1880,https://syroidgroup.com/karen-syroid/,info@syroidgroup.com,5 (71 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",Jason Munn - Real Estate Agent - The Smart Move!,"283 St Marys St, Fredericton, NB E3A 2S5, Canada",(506) 260-2605,https://jasonmunnrealty.com/,,5 (21 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",Keller Williams Capital Realty,"90 Woodside Ln, Fredericton, NB E3C 2R9, Canada",(506) 459-3733,http://www.kwnb.ca/,,4.2 (31 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",Fredericton's Realtor Kevin Hollohan,"749 Prince St, Fredericton, NB E3A 3H2, Canada",(506) 447-2896,http://www.sellingfredericton.com/,kevin@506realty.ca,4.9 (109 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",The Yerxa Team Realtors,"82 Westmorland St, Frederict249 Rookwood Ave Fredericton, NB, E3B 2M5on, 82 Westmorland St, Fredericton, NB E3B 3L3, Canada",(506) 260-2420,https://yerxateam.com/,Andrew.phillips@exprealty.com,4.9 (35 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick","Amy Bragdon, Bragdon Realty, EXIT Realty Advantage","1166 Lincoln Rd, Fredericton, NB E3B 0G3, Canada",(506) 476-4368,https://bragdonrealty.com/,abragdon@exitadvantage.ca,4.9 (45 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",The Professionals Real Estate Group,"457 Bishop Dr Suite 101, Fredericton, NB E3C 2M6, Canada",(506) 444-1901,http://www.workwithprofessionals.com/,,5 (68 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",Jake Black - Real Estate & Property Management,"461 St Marys St, Fredericton, NB E3A 8H4, Canada",(506) 343-1488,https://jakeblack.ca/,,4.8 (52 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",Andrew Phillips REALTOR-The Yerxa Team Fredericton,"249 Rookwood Ave, Fredericton, NB E3B 2M5, Canada",(506) 474-3547,http://www.yerxateam.com/,Andrew.phillips@exprealty.com,5 (48 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",Maling Realty Team - BGRS Certified REALTORS & CAF Veterans - eXp Realty,"249 Rookwood Ave, Fredericton, NB E3B 2M5, Canada",(506) 461-3948,http://mrtdelivers.com/,soldbyksmith@gmail.com,5 (43 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",Langdon Realty,"283 St Marys St, Fredericton, NB E3A 2S5, Canada",(506) 440-1069,https://langdonrealty.ca/,ken@langdonrealty.ca,5 (35 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",506 Realty powered by eXp Brokerage,"82 Westmorland St, Fredericton, NB E3B 3L3, Canada",(506) 471-1781,http://www.buyingfredericton.ca/,,5 (47 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick","Josie Livingstone, Salesperson, Exit Realty Advantage","461 St Marys St, Fredericton, NB E3A 8H4, Canada",(506) 447-8856,http://josielivingstone.com/,josie.livingstone@gmail.com,4.9 (56 reviews)
Real Estate,"Real Estate Agency in Fredericton, New Brunswick",Richelle Plumstead- EXP Realty/Movin' Up Real Estate Ltd,"249 Rookwood Ave Suite 1, Fredericton, NB E3B 2M5, Canada",(506) 447-8061,,,4.9 (56 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Shawn Tucker Premium Real Estate - eXp Realty,"44 Marr Rd, Rothesay, NB E2E 5K8, Canada",(506) 651-1111,http://www.thepremiumcrew.com/,shawn@thepremiumcrew.com,4.8 (77 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Three Rivers Realtors - Andy Childs & Rod Martens - Saint John NB - Real Estate Agents,"175J, Hampton Rd Unit 113, Quispamsis, NB E2E 4R8, Canada",(506) 721-9577,http://www.threeriversrealty.ca/,andy@threeriversrealty.ca,5 (72 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Mike Jackson & Company - Exit Realty Specialists - Saint John Real Estate Agent,"1020 Rothesay Rd, Saint John, NB E2H 2H8, Canada",(506) 333-2077,https://www.homesbyjackson.ca/,mike@exitsj.ca,5 (32 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",EXIT Realty Specialists,"1020 Rothesay Rd, Saint John, NB E2H 2H8, Canada",(506) 642-3948,https://exitrealtyspecialists.ca/,info@exitsj.ca,4.9 (10 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",RE/MAX PROFESSIONALS SAINT JOHN INC,"10 King George Ct, Saint John, NB E2K 0H5, Canada",(506) 634-8200,http://www.remax-sjnb.com/,,4.3 (18 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",KW Canada - McKinley & Company Real Estate,"154 Hampton Rd Ste 100, Rothesay, NB E2E 2R3, Canada",(506) 333-3332,http://www.mckinleyandcompany.ca/,meganmckinley@kw.com,5 (81 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Kim Legge & Jennifer Herrington Real Estate - eXp Realty,"53 Clark Rd Unit B, Rothesay, NB E2E 2K9, Canada",(506) 333-7475,https://kimlegge.com/,20jennifer@jenniferherrington.com,5 (37 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Royal LePage Atlantic,"71 Paradise Row, Saint John, NB E2K 3H6, Canada",(506) 658-6440,http://www.royallepageatlantic.com/,,4.1 (20 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",The Snell Group Realtors,"175J Hampton Rd, Rothesay, NB E2E 4Y7, Canada",(506) 701-2633,https://thesnellgroup.ca/,dwayne@thesnellgroup.ca,5 (148 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Pam DeCourcey and Company - Re/Max,"20 Marr Rd #600, Rothesay, NB E2E 2R5, Canada",(506) 333-1000,http://www.decourceyandcompany.com/,,5 (8 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",The Cormier Group - Re/Max Professionals,"20 Marr Rd, Rothesay, NB E2E 2R5, Canada",(506) 651-6292,https://cormiergroup.ca/,stef@remax-sjnb.com,5 (51 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Sutton Group Aurora Realty Ltd.,"9 Somerset St #3, Saint John, NB E2K 2X5, Canada",(506) 646-0289,http://suttonnb.ca/,info@suttonnb.ca,5 (2 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Mitchell Realty RE/MAX,"10 King George Ct, Saint John, NB E2K 0H5, Canada",(506) 636-2711,https://www.mitchellrealty.ca/,,4.9 (37 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Sheila Kirkpatrick: Real Estate Professional,"1020 Rothesay Rd, Saint John, NB E2H 2H8, Canada",(506) 333-7772,https://sheilakirkpatrick.ca/,sheila@committedtoyourgoals.com,5 (34 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Keller Williams Capital Realty,"154 Hampton Rd Suite 100, Rothesay, NB E2E 2R3, Canada",(506) 216-8000,http://www.kwsaintjohn.ca/,,4.6 (5 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Royal LePage Select Realty,"175J Hampton Rd, Quispamsis, NB E2E 4Y7, Canada",(506) 847-0522,https://royallepageselect.ca/,,4.4 (9 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Take-2 Exit Realty Specialists,"1020 Rothesay Rd, Saint John, NB E2H 2H8, Canada",(506) 645-1110,http://take-2.ca/,janice@take-2.ca,5 (16 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Justin Saulnier Real Estate - Saint John REALTOR®,"1020 Rothesay Rd, Saint John, NB E2H 2H8, Canada",(506) 647-4510,https://linktr.ee/JustinSaulnier,,5 (22 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Lister Group,"154 Hampton Rd Suite 100, Rothesay, NB E2E 2R3, Canada",(506) 654-0111,https://www.listergroup.ca/,admin@listergroup.ca,4.9 (48 reviews)
Real Estate,"Real Estate Agency in Saint John, New Brunswick",Jenn Toner Real Estate,"154 Hampton Rd Ste 100, Saint John, NB E2E 2R3, Canada",(506) 721-5349,,,5 (11 reviews)
Real Estate,"Real Estate Agency in Halifax, Nova Scotia",Halifax Real Estate For Sale: Sandra Pike,"84 Chain Lake Dr Suite 300, Halifax, NS B3S 1B4, Canada",(902) 478-8711,https://thepikegroup.ca/,sandra@sandrapike.ca,5 (145 reviews)
Real Estate,"Real Estate Agency in Halifax, Nova Scotia",Ian Angus Halifax Real Estate,"84 Chain Lake Dr Suite 300, Halifax, NS B3S 1B4, Canada",(902) 877-1661,https://www.ianangus.ca/,user@domain.com,5 (101 reviews)
Real Estate,"Real Estate Agency in Halifax, Nova Scotia",Brehannah Hopgood - Halifax Real Estate,"5546 Kaye St, Halifax, NS B3K 1Y5, Canada",(902) 880-5555,https://homesbybre.com/,,4.9 (73 reviews)
Real Estate,"Real Estate Agency in Halifax, Nova Scotia",Don Ranni – Halifax Realtor,"84 Chain Lake Dr Suite 300, Halifax, NS B3S 1B4, Canada",(902) 219-0703,https://www.owninghalifax.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3901242247649373560,example@mysite.com,5 (203 reviews)
Real Estate,"Real Estate Agency in Halifax, Nova Scotia",Margaret Craig REALTOR® | Engel & Völkers Halifax,"1901 Gottingen St Suite 2, Halifax, NS B3J 2H1, Canada",(902) 233-0227,http://margaretcraigrealtor.com/,user@domain.com,5 (114 reviews)
Real Estate,"Real Estate Agency in Halifax, Nova Scotia",Jeremy Snider - Real Estate Agent Halifax,"5880 Spring Garden Rd Suite 200, Halifax, NS B3H 1Y1, Canada",(902) 476-7079,https://realestateagenthalifax.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,jsnider@domus.ca,5 (47 reviews)
Real Estate,"Real Estate Agency in Halifax, Nova Scotia",Liz Martin | Real Estate Agent | Halifax NS,"5880 Spring Garden Rd, Halifax, NS B3H 1Y1, Canada",(902) 219-0316,http://www.lizmartin.ca/,support@myrealpage.com,5 (28 reviews)
Real Estate,"Real Estate Agency in Halifax, Nova Scotia",Selling Scotia Realty Group,"397 Bedford Hwy, Halifax, NS B3M 2C8, Canada",(902) 401-8340,,,5 (118 reviews)
Real Estate,"Real Estate Agency in Halifax, Nova Scotia",Peggy Jensen – Halifax & Dartmouth REALTOR® | Top-Rated & Trusted Real Estate Expert,"796 Main St, Dartmouth, NS B2W 2V1, Canada",(902) 478-4328,https://peggy-jensen.c21.ca/,mail-service@platform.moxiworks.com,5 (35 reviews)
Real Estate,"Real Estate Agency in Halifax, Nova Scotia","Julia Fauteux, Nova Scotia Real Estate Agent","eXp Realty, #1301, 1959 Upper Water St, Halifax, NS B3J 3N2, Canada",(902) 266-6100,http://www.myhomehalifax.com/,,5 (62 reviews)
